0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31
0	0																											1	2	3		
1	4																												5	6		
2	7																															
3	8																											5	9	10		
4	11																											7	12	13		
5	7																										5	14	15	16		
6	17																															
7	11																										17	18	19	20		
8	21																															
9	7																													22		
10	4																										11	23	24	25		
11	0																						4	5	7	14	24	26	27	28		
12	29																															
13	30																												17	31		
14	32																													4		
15	14																											33	34	35		
16	34																															
17	36																															
18	25																															
19	37																															
20	11																															
21	38																													39		
22	7																															
23	4																										9	35	40	41		
24	4																				11	17	27	42	43	44	45	46	47	48		
25	24																													49		
26	5																															
27	50																											17	25	31		
28	11																															
29	51																									31	34	35	49	52		
30	5																											24	37	53		
31	54																								11	17	24	55	56	57		
32	42																										7	11	33	53		
33	58																							7	11	16	31	59	60	61		
34	29																												41	62		
35	39																													31		
36	34																															
37	49																															
38	42																											7	11	63		
39	0																												35	64		
40	50																									17	31	37	49	52		
41	4																		5	6	7	22	31	33	39	42	46	47	51	65		
42	59																													5		
43	49																															
44	38																							5	9	17	24	31	35	66		
45	6																															
46	39																													24		
47	17																															
48	67																															
49	42																					11	13	14	17	18	24	26	60	68		
50	50																											17	35	69		
51	49																															
52	70																											7	11	62		
53	71																					1	2	4	11	26	34	51	65	72		
54	7																										5	31	40	73		
55	7																											5	26	39		
56	36																												49	51		
57	17																								24	56	57	74	75	76		
58	70																									17	29	60	69	77		
59	17																												33	39		
60	11																								7	41	45	78	79	80		
61	50																													39		
62	50																												7	29		
63	30																										4	17	33	51		
64	17																												31	39		
65	7																															
66	81																													6		
67	82																													35		
68	50																												7	26		
69	4																							7	8	17	25	59	73	83		
70	82																															
71	7																								2	14	84	85	86	87		
72	30																							0	7	35	65	74	85	88		
73	7																												10	31		
74	83																															
75	11																											7	17	33		
76	0																										7	26	38	39		
77	27																										19	24	34	89		
78	33																											19	24	31		
79	90																													6		
80	25																															
81	42																					2	7	17	34	48	65	74	78	91		
82	42																											68	78	92		
83	93																								12	74	78	86	89	94		
84	24																															
85	50																								5	17	41	42	92	95		
86	6																													35		
87	58																												11	60		
88	59																													5		
89	31																															
90	59																															
91	34																												45	86		
92	0																											5	9	38		
93	58																						0	6	15	25	54	59	60	92		
94	41																															
95	62																													96		
96	50																						17	34	46	49	51	52	82	97		
97	32																					0	4	11	14	41	42	54	74	98		
98	7																												5	51		
99	0																													4		
100	31																													67		
101	50																						7	17	31	37	39	48	58	62		
102	30																												17	24		
103	50																					5	6	7	19	34	52	57	96	99		
104	31																															
105	17																													34		
106	29																									0	41	42	51	59		
107	7																								17	31	46	47	60	100		
108	40																															
109	4																													8		
110	30																					11	17	19	28	42	50	73	74	75		
111	36																													24		
112	7																							2	17	24	35	63	78	82		
113	59																													60		
114	0																											18	40	59		
115	4																												5	7		
116	54																									7	17	19	78	88		
117	54																								7	11	28	31	65	78		
118	7																												9	31		
119	101																							2	6	11	13	39	52	102		
120	30																											13	46	50		
121	36																											1	49	63		
122	39																													31		
123	11																													82		
124	67																															
125	30																0	4	7	8	9	15	33	34	50	56	65	67	68	103		
126	88																															
127	37																															
128	50																												17	38		
129	81																															
130	30																													63		
131	7																										5	51	52	53		
132	35																															
133	59																													31		
134	26																												20	27		
135	4																												6	11		
136	31																															
137	17																													104		
138	49																															
139	49																															
140	30																										2	7	17	50		
141	11																												49	67		
142	7																													78		
143	7																															
144	0																								2	9	14	23	35	74		
145	30																													17		
146	30																					7	8	11	17	33	70	72	78	105		
147	38																										5	31	41	106		
148	54																									0	17	24	92	107		
149	98																													108		
150	11																									7	10	25	52	109		
151	50																								0	23	28	58	63	86		
152	17																															
153	62																									5	11	26	57	63		
154	42																						5	7	11	19	34	53	78	105		
155	6																													52		
156	108																															
157	7																										17	24	31	33		
158	4																										7	11	36	110		
159	29																										27	93	100	111		
160	7																											14	17	63		
161	30																												31	75		
162	4																												24	112		
163	49																															
164	113																											11	19	78		
165	53																													31		
166	54																												7	42		
167	7																												13	39		
